bee_id,trial,number,choice
1,1,large,1
1,2,large,1
1,3,large,1
1,4,large,0
1,5,large,0
1,6,large,0
1,7,large,0
1,8,large,0
1,9,large,0
1,10,large,0
2,1,large,0
2,2,large,0
2,3,large,0
2,4,large,0
2,5,large,0
2,6,large,0
2,7,large,1
2,8,large,1
2,9,large,1
2,10,large,1
3,1,large,1
3,2,large,1
3,3,large,1
3,4,large,1
3,5,large,1
3,6,large,0
3,7,large,0
3,8,large,0
3,9,large,0
3,10,large,0
4,1,large,1
4,2,large,1
4,3,large,1
4,4,large,1
4,5,large,1
4,6,large,0
4,7,large,0
4,8,large,0
4,9,large,0
4,10,large,0
5,1,large,0
5,2,large,0
5,3,large,0
5,4,large,0
5,5,large,0
5,6,large,0
5,7,large,0
5,8,large,1
5,9,large,1
5,10,large,1
6,1,large,1
6,2,large,1
6,3,large,1
6,4,large,1
6,5,large,1
6,6,large,0
6,7,large,0
6,8,large,0
6,9,large,0
6,10,large,0
7,1,large,0
7,2,large,0
7,3,large,0
7,4,large,0
7,5,large,1
7,6,large,1
7,7,large,1
7,8,large,1
7,9,large,1
7,10,large,1
8,1,large,0
8,2,large,0
8,3,large,0
8,4,large,0
8,5,large,0
8,6,large,1
8,7,large,1
8,8,large,1
8,9,large,1
8,10,large,1
9,1,large,1
9,2,large,1
9,3,large,1
9,4,large,1
9,5,large,1
9,6,large,1
9,7,large,0
9,8,large,0
9,9,large,0
9,10,large,0
10,1,large,1
10,2,large,1
10,3,large,1
10,4,large,1
10,5,large,1
10,6,large,1
10,7,large,0
10,8,large,0
10,9,large,0
10,10,large,0
11,1,large,1
11,2,large,1
11,3,large,1
11,4,large,1
11,5,large,1
11,6,large,0
11,7,large,0
11,8,large,0
11,9,large,0
11,10,large,0
12,1,large,0
12,2,large,0
12,3,large,0
12,4,large,0
12,5,large,0
12,6,large,1
12,7,large,1
12,8,large,1
12,9,large,1
12,10,large,1
13,1,large,0
13,2,large,0
13,3,large,0
13,4,large,0
13,5,large,0
13,6,large,0
13,7,large,0
13,8,large,0
13,9,large,0
13,10,large,0
14,1,large,0
14,2,large,0
14,3,large,0
14,4,large,0
14,5,large,0
14,6,large,0
14,7,large,1
14,8,large,1
14,9,large,1
14,10,large,1
15,1,large,0
15,2,large,0
15,3,large,0
15,4,large,0
15,5,large,0
15,6,large,0
15,7,large,0
15,8,large,1
15,9,large,1
15,10,large,1
16,1,large,0
16,2,large,0
16,3,large,0
16,4,large,0
16,5,large,0
16,6,large,0
16,7,large,0
16,8,large,1
16,9,large,1
16,10,large,1
17,1,large,0
17,2,large,0
17,3,large,0
17,4,large,0
17,5,large,0
17,6,large,0
17,7,large,0
17,8,large,1
17,9,large,1
17,10,large,1
18,1,large,0
18,2,large,0
18,3,large,0
18,4,large,0
18,5,large,0
18,6,large,0
18,7,large,0
18,8,large,0
18,9,large,1
18,10,large,1
19,1,large,1
19,2,large,1
19,3,large,1
19,4,large,1
19,5,large,0
19,6,large,0
19,7,large,0
19,8,large,0
19,9,large,0
19,10,large,0
20,1,large,1
20,2,large,1
20,3,large,1
20,4,large,1
20,5,large,0
20,6,large,0
20,7,large,0
20,8,large,0
20,9,large,0
20,10,large,0
21,1,large,1
21,2,large,0
21,3,large,0
21,4,large,0
21,5,large,0
21,6,large,0
21,7,large,0
21,8,large,0
21,9,large,0
21,10,large,0
22,1,large,1
22,2,large,1
22,3,large,0
22,4,large,0
22,5,large,0
22,6,large,0
22,7,large,0
22,8,large,0
22,9,large,0
22,10,large,0
23,1,large,1
23,2,large,1
23,3,large,1
23,4,large,0
23,5,large,0
23,6,large,0
23,7,large,0
23,8,large,0
23,9,large,0
23,10,large,0
24,1,large,1
24,2,large,1
24,3,large,1
24,4,large,0
24,5,large,0
24,6,large,0
24,7,large,0
24,8,large,0
24,9,large,0
24,10,large,0
25,1,large,1
25,2,large,1
25,3,large,1
25,4,large,1
25,5,large,1
25,6,large,0
25,7,large,0
25,8,large,0
25,9,large,0
25,10,large,0
26,1,large,1
26,2,large,1
26,3,large,1
26,4,large,1
26,5,large,1
26,6,large,0
26,7,large,0
26,8,large,0
26,9,large,0
26,10,large,0
27,1,large,1
27,2,large,1
27,3,large,1
27,4,large,1
27,5,large,1
27,6,large,0
27,7,large,0
27,8,large,0
27,9,large,0
27,10,large,0
28,1,large,1
28,2,large,0
28,3,large,0
28,4,large,0
28,5,large,0
28,6,large,0
28,7,large,0
28,8,large,0
28,9,large,0
28,10,large,0
29,1,large,1
29,2,large,1
29,3,large,1
29,4,large,1
29,5,large,1
29,6,large,0
29,7,large,0
29,8,large,0
29,9,large,0
29,10,large,0
30,1,large,1
30,2,large,1
30,3,large,1
30,4,large,0
30,5,large,0
30,6,large,0
30,7,large,0
30,8,large,0
30,9,large,0
30,10,large,0
31,1,large,1
31,2,large,1
31,3,large,1
31,4,large,1
31,5,large,1
31,6,large,0
31,7,large,0
31,8,large,0
31,9,large,0
31,10,large,0
32,1,large,1
32,2,large,0
32,3,large,0
32,4,large,0
32,5,large,0
32,6,large,0
32,7,large,0
32,8,large,0
32,9,large,0
32,10,large,0
33,1,large,0
33,2,large,0
33,3,large,0
33,4,large,0
33,5,large,0
33,6,large,0
33,7,large,0
33,8,large,0
33,9,large,0
33,10,large,0
34,1,large,1
34,2,large,1
34,3,large,1
34,4,large,0
34,5,large,0
34,6,large,0
34,7,large,0
34,8,large,0
34,9,large,0
34,10,large,0
35,1,large,1
35,2,large,1
35,3,large,0
35,4,large,0
35,5,large,0
35,6,large,0
35,7,large,0
35,8,large,0
35,9,large,0
35,10,large,0
36,1,large,1
36,2,large,1
36,3,large,1
36,4,large,0
36,5,large,0
36,6,large,0
36,7,large,0
36,8,large,0
36,9,large,0
36,10,large,0
37,1,large,1
37,2,large,1
37,3,large,1
37,4,large,0
37,5,large,0
37,6,large,0
37,7,large,0
37,8,large,0
37,9,large,0
37,10,large,0
38,1,large,1
38,2,large,1
38,3,large,0
38,4,large,0
38,5,large,0
38,6,large,0
38,7,large,0
38,8,large,0
38,9,large,0
38,10,large,0
39,1,large,1
39,2,large,1
39,3,large,1
39,4,large,0
39,5,large,0
39,6,large,0
39,7,large,0
39,8,large,0
39,9,large,0
39,10,large,0
40,1,large,1
40,2,large,1
40,3,large,1
40,4,large,0
40,5,large,0
40,6,large,0
40,7,large,0
40,8,large,0
40,9,large,0
40,10,large,0
41,1,large,1
41,2,large,0
41,3,large,0
41,4,large,0
41,5,large,0
41,6,large,0
41,7,large,0
41,8,large,0
41,9,large,0
41,10,large,0
42,1,large,1
42,2,large,1
42,3,large,1
42,4,large,1
42,5,large,0
42,6,large,0
42,7,large,0
42,8,large,0
42,9,large,0
42,10,large,0
1,1,small,0
1,2,small,0
1,3,small,0
1,4,small,0
1,5,small,0
1,6,small,0
1,7,small,0
1,8,small,1
1,9,small,1
1,10,small,1
2,1,small,0
2,2,small,0
2,3,small,0
2,4,small,0
2,5,small,0
2,6,small,0
2,7,small,0
2,8,small,1
2,9,small,1
2,10,small,1
3,1,small,1
3,2,small,1
3,3,small,1
3,4,small,1
3,5,small,1
3,6,small,1
3,7,small,0
3,8,small,0
3,9,small,0
3,10,small,0
4,1,small,1
4,2,small,1
4,3,small,1
4,4,small,1
4,5,small,1
4,6,small,1
4,7,small,1
4,8,small,0
4,9,small,0
4,10,small,0
5,1,small,0
5,2,small,0
5,3,small,0
5,4,small,0
5,5,small,0
5,6,small,0
5,7,small,1
5,8,small,1
5,9,small,1
5,10,small,1
6,1,small,0
6,2,small,0
6,3,small,0
6,4,small,0
6,5,small,0
6,6,small,0
6,7,small,0
6,8,small,1
6,9,small,1
6,10,small,1
7,1,small,0
7,2,small,0
7,3,small,0
7,4,small,0
7,5,small,1
7,6,small,1
7,7,small,1
7,8,small,1
7,9,small,1
7,10,small,1
8,1,small,1
8,2,small,1
8,3,small,1
8,4,small,1
8,5,small,1
8,6,small,1
8,7,small,1
8,8,small,0
8,9,small,0
8,10,small,0
9,1,small,1
9,2,small,1
9,3,small,1
9,4,small,1
9,5,small,1
9,6,small,1
9,7,small,1
9,8,small,0
9,9,small,0
9,10,small,0
10,1,small,0
10,2,small,0
10,3,small,0
10,4,small,0
10,5,small,0
10,6,small,1
10,7,small,1
10,8,small,1
10,9,small,1
10,10,small,1
11,1,small,0
11,2,small,0
11,3,small,0
11,4,small,0
11,5,small,0
11,6,small,1
11,7,small,1
11,8,small,1
11,9,small,1
11,10,small,1
12,1,small,1
12,2,small,1
12,3,small,1
12,4,small,1
12,5,small,1
12,6,small,1
12,7,small,1
12,8,small,0
12,9,small,0
12,10,small,0
13,1,small,0
13,2,small,0
13,3,small,0
13,4,small,0
13,5,small,0
13,6,small,0
13,7,small,0
13,8,small,0
13,9,small,1
13,10,small,1
14,1,small,1
14,2,small,1
14,3,small,1
14,4,small,1
14,5,small,1
14,6,small,0
14,7,small,0
14,8,small,0
14,9,small,0
14,10,small,0
15,1,small,1
15,2,small,1
15,3,small,1
15,4,small,1
15,5,small,1
15,6,small,0
15,7,small,0
15,8,small,0
15,9,small,0
15,10,small,0
16,1,small,0
16,2,small,0
16,3,small,0
16,4,small,0
16,5,small,0
16,6,small,0
16,7,small,0
16,8,small,0
16,9,small,1
16,10,small,1
17,1,small,1
17,2,small,1
17,3,small,1
17,4,small,0
17,5,small,0
17,6,small,0
17,7,small,0
17,8,small,0
17,9,small,0
17,10,small,0
18,1,small,0
18,2,small,0
18,3,small,0
18,4,small,0
18,5,small,0
18,6,small,0
18,7,small,1
18,8,small,1
18,9,small,1
18,10,small,1
19,1,small,1
19,2,small,1
19,3,small,1
19,4,small,1
19,5,small,0
19,6,small,0
19,7,small,0
19,8,small,0
19,9,small,0
19,10,small,0
20,1,small,0
20,2,small,0
20,3,small,0
20,4,small,0
20,5,small,0
20,6,small,0
20,7,small,0
20,8,small,0
20,9,small,1
20,10,small,1
21,1,small,1
21,2,small,1
21,3,small,1
21,4,small,0
21,5,small,0
21,6,small,0
21,7,small,0
21,8,small,0
21,9,small,0
21,10,small,0
22,1,small,1
22,2,small,1
22,3,small,1
22,4,small,0
22,5,small,0
22,6,small,0
22,7,small,0
22,8,small,0
22,9,small,0
22,10,small,0
23,1,small,1
23,2,small,1
23,3,small,0
23,4,small,0
23,5,small,0
23,6,small,0
23,7,small,0
23,8,small,0
23,9,small,0
23,10,small,0
24,1,small,1
24,2,small,1
24,3,small,1
24,4,small,1
24,5,small,1
24,6,small,1
24,7,small,1
24,8,small,0
24,9,small,0
24,10,small,0
25,1,small,1
25,2,small,1
25,3,small,1
25,4,small,1
25,5,small,1
25,6,small,1
25,7,small,1
25,8,small,1
25,9,small,0
25,10,small,0
26,1,small,1
26,2,small,1
26,3,small,1
26,4,small,1
26,5,small,1
26,6,small,1
26,7,small,0
26,8,small,0
26,9,small,0
26,10,small,0
27,1,small,1
27,2,small,1
27,3,small,1
27,4,small,1
27,5,small,1
27,6,small,1
27,7,small,1
27,8,small,1
27,9,small,0
27,10,small,0
28,1,small,1
28,2,small,1
28,3,small,1
28,4,small,0
28,5,small,0
28,6,small,0
28,7,small,0
28,8,small,0
28,9,small,0
28,10,small,0
29,1,small,1
29,2,small,1
29,3,small,1
29,4,small,1
29,5,small,1
29,6,small,1
29,7,small,1
29,8,small,0
29,9,small,0
29,10,small,0
30,1,small,1
30,2,small,1
30,3,small,1
30,4,small,1
30,5,small,1
30,6,small,0
30,7,small,0
30,8,small,0
30,9,small,0
30,10,small,0
31,1,small,1
31,2,small,1
31,3,small,0
31,4,small,0
31,5,small,0
31,6,small,0
31,7,small,0
31,8,small,0
31,9,small,0
31,10,small,0
32,1,small,1
32,2,small,1
32,3,small,1
32,4,small,1
32,5,small,1
32,6,small,1
32,7,small,1
32,8,small,0
32,9,small,0
32,10,small,0
33,1,small,1
33,2,small,1
33,3,small,1
33,4,small,1
33,5,small,1
33,6,small,1
33,7,small,1
33,8,small,0
33,9,small,0
33,10,small,0
34,1,small,1
34,2,small,1
34,3,small,1
34,4,small,1
34,5,small,1
34,6,small,0
34,7,small,0
34,8,small,0
34,9,small,0
34,10,small,0
35,1,small,1
35,2,small,1
35,3,small,0
35,4,small,0
35,5,small,0
35,6,small,0
35,7,small,0
35,8,small,0
35,9,small,0
35,10,small,0
36,1,small,1
36,2,small,1
36,3,small,1
36,4,small,1
36,5,small,0
36,6,small,0
36,7,small,0
36,8,small,0
36,9,small,0
36,10,small,0
37,1,small,1
37,2,small,1
37,3,small,1
37,4,small,1
37,5,small,1
37,6,small,1
37,7,small,1
37,8,small,1
37,9,small,1
37,10,small,0
38,1,small,1
38,2,small,1
38,3,small,1
38,4,small,0
38,5,small,0
38,6,small,0
38,7,small,0
38,8,small,0
38,9,small,0
38,10,small,0
39,1,small,1
39,2,small,1
39,3,small,1
39,4,small,1
39,5,small,0
39,6,small,0
39,7,small,0
39,8,small,0
39,9,small,0
39,10,small,0
40,1,small,1
40,2,small,1
40,3,small,1
40,4,small,1
40,5,small,1
40,6,small,1
40,7,small,0
40,8,small,0
40,9,small,0
40,10,small,0
41,1,small,1
41,2,small,0
41,3,small,0
41,4,small,0
41,5,small,0
41,6,small,0
41,7,small,0
41,8,small,0
41,9,small,0
41,10,small,0
42,1,small,1
42,2,small,1
42,3,small,1
42,4,small,1
42,5,small,1
42,6,small,1
42,7,small,1
42,8,small,0
42,9,small,0
42,10,small,0