BEEID,CHOICENUM,NUMBER,CHOICE
28,1,large,1
28,2,large,1
28,3,large,1
28,4,large,1
28,5,large,1
28,6,large,1
28,7,large,1
28,8,large,1
28,9,large,0
28,10,large,0
29,1,large,1
29,2,large,1
29,3,large,1
29,4,large,1
29,5,large,1
29,6,large,1
29,7,large,1
29,8,large,1
29,9,large,1
29,10,large,0
30,1,large,1
30,2,large,1
30,3,large,1
30,4,large,0
30,5,large,0
30,6,large,0
30,7,large,0
30,8,large,0
30,9,large,0
30,10,large,0
31,1,large,1
31,2,large,1
31,3,large,1
31,4,large,1
31,5,large,1
31,6,large,1
31,7,large,1
31,8,large,0
31,9,large,0
31,10,large,0
32,1,large,1
32,2,large,1
32,3,large,1
32,4,large,0
32,5,large,0
32,6,large,0
32,7,large,0
32,8,large,0
32,9,large,0
32,10,large,0
33,1,large,1
33,2,large,1
33,3,large,1
33,4,large,1
33,5,large,1
33,6,large,0
33,7,large,0
33,8,large,0
33,9,large,0
33,10,large,0
34,1,large,1
34,2,large,1
34,3,large,1
34,4,large,1
34,5,large,1
34,6,large,1
34,7,large,1
34,8,large,1
34,9,large,1
34,10,large,0
35,1,large,1
35,2,large,1
35,3,large,1
35,4,large,0
35,5,large,0
35,6,large,0
35,7,large,0
35,8,large,0
35,9,large,0
35,10,large,0
36,1,large,1
36,2,large,1
36,3,large,1
36,4,large,1
36,5,large,0
36,6,large,0
36,7,large,0
36,8,large,0
36,9,large,0
36,10,large,0
37,1,large,1
37,2,large,1
37,3,large,1
37,4,large,1
37,5,large,1
37,6,large,1
37,7,large,1
37,8,large,1
37,9,large,0
37,10,large,0
38,1,large,1
38,2,large,1
38,3,large,1
38,4,large,1
38,5,large,1
38,6,large,1
38,7,large,0
38,8,large,0
38,9,large,0
38,10,large,0
39,1,large,1
39,2,large,1
39,3,large,1
39,4,large,0
39,5,large,0
39,6,large,0
39,7,large,0
39,8,large,0
39,9,large,0
39,10,large,0
40,1,large,1
40,2,large,0
40,3,large,0
40,4,large,0
40,5,large,0
40,6,large,0
40,7,large,0
40,8,large,0
40,9,large,0
40,10,large,0
41,1,large,1
41,2,large,1
41,3,large,1
41,4,large,1
41,5,large,1
41,6,large,1
41,7,large,1
41,8,large,0
41,9,large,0
41,10,large,0
42,1,large,1
42,2,large,1
42,3,large,1
42,4,large,0
42,5,large,0
42,6,large,0
42,7,large,0
42,8,large,0
42,9,large,0
42,10,large,0
28,1,small,1
28,2,small,1
28,3,small,1
28,4,small,1
28,5,small,1
28,6,small,0
28,7,small,0
28,8,small,0
28,9,small,0
28,10,small,0
29,1,small,1
29,2,small,1
29,3,small,1
29,4,small,1
29,5,small,1
29,6,small,1
29,7,small,1
29,8,small,0
29,9,small,0
29,10,small,0
30,1,small,1
30,2,small,1
30,3,small,0
30,4,small,0
30,5,small,0
30,6,small,0
30,7,small,0
30,8,small,0
30,9,small,0
30,10,small,0
31,1,small,1
31,2,small,1
31,3,small,1
31,4,small,1
31,5,small,1
31,6,small,1
31,7,small,1
31,8,small,1
31,9,small,1
31,10,small,0
32,1,small,0
32,2,small,0
32,3,small,0
32,4,small,0
32,5,small,0
32,6,small,0
32,7,small,0
32,8,small,0
32,9,small,0
32,10,small,0
33,1,small,1
33,2,small,1
33,3,small,1
33,4,small,1
33,5,small,1
33,6,small,0
33,7,small,0
33,8,small,0
33,9,small,0
33,10,small,0
34,1,small,1
34,2,small,1
34,3,small,0
34,4,small,0
34,5,small,0
34,6,small,0
34,7,small,0
34,8,small,0
34,9,small,0
34,10,small,0
35,1,small,1
35,2,small,1
35,3,small,1
35,4,small,1
35,5,small,0
35,6,small,0
35,7,small,0
35,8,small,0
35,9,small,0
35,10,small,0
36,1,small,1
36,2,small,1
36,3,small,1
36,4,small,1
36,5,small,1
36,6,small,1
36,7,small,1
36,8,small,0
36,9,small,0
36,10,small,0
37,1,small,1
37,2,small,1
37,3,small,1
37,4,small,1
37,5,small,1
37,6,small,1
37,7,small,1
37,8,small,1
37,9,small,0
37,10,small,0
38,1,small,1
38,2,small,1
38,3,small,1
38,4,small,1
38,5,small,1
38,6,small,1
38,7,small,0
38,8,small,0
38,9,small,0
38,10,small,0
39,1,small,1
39,2,small,0
39,3,small,0
39,4,small,0
39,5,small,0
39,6,small,0
39,7,small,0
39,8,small,0
39,9,small,0
39,10,small,0
40,1,small,1
40,2,small,1
40,3,small,1
40,4,small,1
40,5,small,1
40,6,small,0
40,7,small,0
40,8,small,0
40,9,small,0
40,10,small,0
41,1,small,1
41,2,small,1
41,3,small,1
41,4,small,1
41,5,small,1
41,6,small,1
41,7,small,1
41,8,small,1
41,9,small,0
41,10,small,0
42,1,small,1
42,2,small,1
42,3,small,1
42,4,small,1
42,5,small,1
42,6,small,1
42,7,small,1
42,8,small,1
42,9,small,0
42,10,small,0